TF,target,importance,corr_sign,signed_importance,validated
CD28,PAPOLG,0.5364688643544552,1.0,0.5364688643544552,False
ICOS,FOXL2NB,0.5363823744379775,-1.0,-0.5363823744379775,False
CD28,APOL2,0.5346200676950619,1.0,0.5346200676950619,False
CD2,SLA2,0.5327406378068424,1.0,0.5327406378068424,False
CD40,PAPOLG,0.5306669238420788,1.0,0.5306669238420788,False
TNFRSF14,VAV1,0.5305490253628589,-1.0,-0.5305490253628589,False
ICOS,FOSB,0.523328494114961,1.0,0.523328494114961,False
ZEB2,TNFRSF18,0.5195064057268748,1.0,0.5195064057268748,False
ICOS,CNR2,0.515637221689833,-1.0,-0.515637221689833,False
TNFRSF18,TNFRSF8,0.5151951805112615,1.0,0.5151951805112615,False
TNFRSF8,FOXO1,0.5112714344547529,-1.0,-0.5112714344547529,False
CD2,LCP2,0.5102141561919481,1.0,0.5102141561919481,True
TNFRSF18,CEACAM1,0.5069997842573774,1.0,0.5069997842573774,False
TNFRSF14,HELZ2,0.506923180239897,1.0,0.506923180239897,False
TNFRSF25,CD28,0.5028249540473204,1.0,0.5028249540473204,False
CD28,LHX6,0.5019619905666932,1.0,0.5019619905666932,False
NLRC3,CD40,0.5015106687939639,-1.0,-0.5015106687939639,False
ICOS,IRF4,0.5001236162317827,1.0,0.5001236162317827,False
CEACAM1,CD40,0.4989694547102359,1.0,0.4989694547102359,False
TRIM21,TNFRSF14,0.497292672899945,1.0,0.497292672899945,False
TNFRSF8,NOTCH1,0.4956553109473222,1.0,0.4956553109473222,False
TNFRSF14,PRF1,0.4950647370610448,-1.0,-0.4950647370610448,False
TNFRSF14,BICDL2,0.4949666959597094,-1.0,-0.4949666959597094,False
TNFRSF18,ARHGDIB,0.4928070823884639,-1.0,-0.4928070823884639,False
DEF6,TNFRSF14,0.4866646608166775,1.0,0.4866646608166775,False
CD27,GZMB,0.485397121575232,-1.0,-0.485397121575232,True
ICOS,TNFRSF1B,0.4825609147767103,1.0,0.4825609147767103,False
CD27,TRIM21,0.4816670019052109,1.0,0.4816670019052109,False
TNFRSF14,TRAF3IP2,0.4799440212925628,-1.0,-0.4799440212925628,False
TNFRSF8,INPPL1,0.4798578066489352,1.0,0.4798578066489352,False
CD27,APOBEC3C,0.4742288023302005,1.0,0.4742288023302005,False
CD2,TRIM21,0.4741287067655569,-1.0,-0.4741287067655569,False
PRDM1,ICOS,0.4716790326945574,1.0,0.4716790326945574,True
CD226,APOBEC3C,0.4701241779159031,1.0,0.4701241779159031,False
CD226,BICDL2,0.4634065249691013,-1.0,-0.4634065249691013,False
APOBEC3C,CD40,0.4627025847954107,-1.0,-0.4627025847954107,False
EMP1,CD2,0.456614743495927,1.0,0.456614743495927,False
TBX21,TNFRSF25,0.4563064497461083,-1.0,-0.4563064497461083,True
TNFRSF4,HELZ2,0.4554102755042369,-1.0,-0.4554102755042369,False
TNFRSF8,GZMB,0.4537145548853643,1.0,0.4537145548853643,False
TNFRSF14,MAP4K1,0.453580815523129,-1.0,-0.453580815523129,False
TNFRSF18,MUC1,0.4520737326234551,-1.0,-0.4520737326234551,False
CD226,CD28,0.4483627214886641,1.0,0.4483627214886641,False
TNFRSF8,EMP1,0.4481371968952368,1.0,0.4481371968952368,False
TNFRSF8,FOXQ1,0.4458712326399777,1.0,0.4458712326399777,False
TNFRSF8,TNFRSF9,0.4454134387258425,1.0,0.4454134387258425,False
ZEB2,CD27,0.445090088311099,-1.0,-0.445090088311099,False
CD226,TRAF3IP2,0.4445083960645989,1.0,0.4445083960645989,False
TNFRSF14,GRAP,0.4429803945041414,1.0,0.4429803945041414,False
TNFRSF14,KLRG1,0.4423202183646173,1.0,0.4423202183646173,False
ICOS,NOTCH1,0.4411087729076928,1.0,0.4411087729076928,False
NOTCH1,TNFRSF25,0.4400220474926508,1.0,0.4400220474926508,False
